Algorithm.Type,String.Length,Duration,Fractional.Period,Run
naive,10202,17811000,10202,5
smart,10202,53550,10202,5
naive,10863,19523900,10863,5
smart,10863,59375,10863,5
naive,11567,52970700,11567,5
smart,11567,72133,11567,5
naive,12316,23218800,12315,5
smart,12316,85433,12315,5
naive,13114,29078300,13114,5
smart,13114,81033,13114,5
naive,13964,29999200,13963,5
smart,13964,82533,13963,5
naive,14868,36395100,14868,5
smart,14868,104250,14868,5
naive,15832,38938200,15832,5
smart,15832,78666,15832,5
naive,16857,44717600,16857,5
smart,16857,114650,16857,5
naive,17950,52612000,17949,5
smart,17950,111300,17949,5
naive,19113,59271500,19113,5
smart,19113,123650,19113,5
naive,20351,66242200,20350,5
smart,20351,134550,20350,5
naive,21669,84145700,21668,5
smart,21669,128650,21668,5
naive,23073,97349400,23073,5
smart,23073,154200,23073,5
naive,24568,88320500,24568,5
smart,24568,159800,24568,5
naive,26160,101390600,26160,5
smart,26160,178150,26160,5
naive,27854,116410600,27854,5
smart,27854,147900,27854,5
naive,29659,130357800,29657,5
smart,29659,210900,29657,5
naive,31581,149730200,31581,5
smart,31581,222400,31581,5
naive,33627,170686100,33626,5
smart,33627,227600,33626,5
naive,35805,190632300,35804,5
smart,35805,193000,35804,5
naive,38125,217908600,38125,5
smart,38125,275100,38125,5
naive,40595,243477500,40595,5
smart,40595,368400,40595,5
naive,43225,277432700,43224,5
smart,43225,336400,43224,5
naive,46025,312428100,46023,5
smart,46025,304100,46023,5
naive,49007,355573800,49007,5
smart,49007,349900,49007,5
naive,52182,398366000,52180,5
smart,52182,364500,52180,5
naive,55563,450596700,55561,5
smart,55563,427000,55561,5
naive,59163,553712100,59163,5
smart,59163,455900,59163,5
naive,62996,577050300,62996,5
smart,62996,420600,62996,5
naive,67077,653580900,67077,5
smart,67077,456100,67077,5
naive,71422,884578600,71422,5
smart,71422,454400,71422,5
naive,76050,989505200,76050,5
smart,76050,596800,76050,5
naive,80977,997483200,80975,5
smart,80977,476800,80975,5
naive,86223,1090506200,86223,5
